Seq,Category,Product_Code,Product_Name,PDF_Page,Filename,Folder,Source_Type
1,MARBLE,8805,ONYX GOLD,3,01_8805_ONYX_GOLD.jpg,01_MARBLE_CLUSTER,image
2,MARBLE,8800,BLACK EMPERADER,4,02_8800_BLACK_EMPERADER.jpg,01_MARBLE_CLUSTER,image
3,MARBLE,8803,TURKISH SILVER,5,03_8803_TURKISH_SILVER.jpg,01_MARBLE_CLUSTER,image
4,MARBLE,8802,TURKISH GOLD,6,04_8802_TURKISH_GOLD.jpg,01_MARBLE_CLUSTER,image
5,MARBLE,8801,TURKISH COPPER,7,05_8801_TURKISH_COPPER.jpg,01_MARBLE_CLUSTER,image
6,MARBLE,8807,STORM GREY,8,06_8807_STORM_GREY.jpg,01_MARBLE_CLUSTER,image
7,MARBLE,8809,SATVARIO GOLD,9,07_8809_SATVARIO_GOLD.jpg,01_MARBLE_CLUSTER,image
8,MARBLE,8808,SATVARIO SILVER,10,08_8808_SATVARIO_SILVER.jpg,01_MARBLE_CLUSTER,image
9,MARBLE,8804,CARAMEL RUST,11,09_8804_CARAMEL_RUST.jpg,01_MARBLE_CLUSTER,image
10,MARBLE,8806,COSTA ROCK,12,10_8806_COSTA_ROCK.jpg,01_MARBLE_CLUSTER,image
11,MATT,SAM-1,ACACIA GREEN,13,11_SAM-1_ACACIA_GREEN.jpg,02_MATT_CLUSTER,vector
12,MATT,SAM-2,BRIGHT WHITE,13,12_SAM-2_BRIGHT_WHITE.jpg,02_MATT_CLUSTER,vector
13,MATT,SAM-3,NICKEL GREY,13,13_SAM-3_NICKEL_GREY.jpg,02_MATT_CLUSTER,vector
14,GLOSS,8000,ULTRA WHITE,14,14_8000_ULTRA_WHITE.jpg,03_GLOSS,vector
15,GLOSS,8001,ROYAL WHITE,14,15_8001_ROYAL_WHITE.jpg,03_GLOSS,vector
16,GLOSS,8002,OYSTER WHITE,14,16_8002_OYSTER_WHITE.jpg,03_GLOSS,vector
17,GLOSS,8003,MUTED CREAM,14,17_8003_MUTED_CREAM.jpg,03_GLOSS,vector
18,GLOSS,8021,DOVE GREY,15,18_8021_DOVE_GREY.jpg,03_GLOSS,vector
19,GLOSS,8023,GOTHIC GREY,15,19_8023_GOTHIC_GREY.jpg,03_GLOSS,vector
20,GLOSS,8025,HERSHEY GREY,15,20_8025_HERSHEY_GREY.jpg,03_GLOSS,vector
21,GLOSS,8022,ASH GREY,16,21_8022_ASH_GREY.jpg,03_GLOSS,vector
22,GLOSS,8024,FROST GREY,16,22_8024_FROST_GREY.jpg,03_GLOSS,vector
23,GLOSS,8026,IRON GREY,16,23_8026_IRON_GREY.jpg,03_GLOSS,vector
24,GLOSS,8004,SKIN BEIGE,17,24_8004_SKIN_BEIGE.jpg,03_GLOSS,vector
25,GLOSS,8005,RUST EMBER,17,25_8005_RUST_EMBER.jpg,03_GLOSS,vector
26,GLOSS,8006,CRAYON,17,26_8006_CRAYON.jpg,03_GLOSS,vector
27,GLOSS,8007,ALOE VERA,18,27_8007_ALOE_VERA.jpg,03_GLOSS,vector
28,GLOSS,8010,PISTA GREEN,18,28_8010_PISTA_GREEN.jpg,03_GLOSS,vector
29,GLOSS,8008,PASTEL GREEN,19,29_8008_PASTEL_GREEN.jpg,03_GLOSS,vector
30,GLOSS,8009,WATER GREEN,19,30_8009_WATER_GREEN.jpg,03_GLOSS,vector
31,GLOSS,8011,ICE BLUE,20,31_8011_ICE_BLUE.jpg,03_GLOSS,vector
32,GLOSS,8012,PERSIAN BLUE,20,32_8012_PERSIAN_BLUE.jpg,03_GLOSS,vector
33,GLOSS,8013,KHYBER BLUE,20,33_8013_KHYBER_BLUE.jpg,03_GLOSS,vector
34,GLOSS,8014,DESIRE BLUE,21,34_8014_DESIRE_BLUE.jpg,03_GLOSS,vector
35,GLOSS,8015,SKY HIGH,21,35_8015_SKY_HIGH.jpg,03_GLOSS,vector
36,GLOSS,8019,ORIENTAL BLUE,21,36_8019_ORIENTAL_BLUE.jpg,03_GLOSS,vector
37,GLOSS,8016,SKY BLUE,22,37_8016_SKY_BLUE.jpg,03_GLOSS,vector
38,GLOSS,8018,BLUE BELL,22,38_8018_BLUE_BELL.jpg,03_GLOSS,vector
39,GLOSS,8017,OCEAN BLUE,23,39_8017_OCEAN_BLUE.jpg,03_GLOSS,vector
40,GLOSS,8020,BURBERRY BLUE,23,40_8020_BURBERRY_BLUE.jpg,03_GLOSS,vector
41,GLOSS,8027,RUSSET,24,41_8027_RUSSET.jpg,03_GLOSS,vector
42,GLOSS,8028,VIOLET,24,42_8028_VIOLET.jpg,03_GLOSS,vector
43,GLOSS,8029,WINE BERRY,24,43_8029_WINE_BERRY.jpg,03_GLOSS,vector
44,GLOSS,8030,SWISS PINK,25,44_8030_SWISS_PINK.jpg,03_GLOSS,vector
45,GLOSS,8031,BABY PINK,25,45_8031_BABY_PINK.jpg,03_GLOSS,vector
46,SPARKLE,8506,TOP WHITE,26,46_8506_TOP_WHITE.jpg,04_SPARKLE_CLUSTER,vector
47,SPARKLE,8507,DARK BEIGE,26,47_8507_DARK_BEIGE.jpg,04_SPARKLE_CLUSTER,vector
48,SPARKLE,8508,MOCHA,26,48_8508_MOCHA.jpg,04_SPARKLE_CLUSTER,vector
49,SPARKLE,8500,SILVER GREY,27,49_8500_SILVER_GREY.jpg,04_SPARKLE_CLUSTER,vector
50,SPARKLE,8509,INDUSTRIAL GREY,27,50_8509_INDUSTRIAL_GREY.jpg,04_SPARKLE_CLUSTER,vector
51,SPARKLE,8502,PEARL WHITE,28,51_8502_PEARL_WHITE.jpg,04_SPARKLE_CLUSTER,vector
52,SPARKLE,8510,ICE LAND,28,52_8510_ICE_LAND.jpg,04_SPARKLE_CLUSTER,vector
53,SPARKLE,8503,SAND GLOW,29,53_8503_SAND_GLOW.jpg,04_SPARKLE_CLUSTER,vector
54,SPARKLE,8504,BEIGE GEM,29,54_8504_BEIGE_GEM.jpg,04_SPARKLE_CLUSTER,vector
55,SPARKLE,8501,SOBER GREY,30,55_8501_SOBER_GREY.jpg,04_SPARKLE_CLUSTER,vector
56,SPARKLE,8505,FOSSIL GREY,30,56_8505_FOSSIL_GREY.jpg,04_SPARKLE_CLUSTER,vector
57,MIRROR,SV-1,SILVER,31,57_SV-1_SILVER.jpg,05_MIRROR_CLUSTER,image
58,MIRROR,OG-2,ORANGE GOLD,31,58_OG-2_ORANGE_GOLD.jpg,05_MIRROR_CLUSTER,image
59,MIRROR,RG-3,ROSE GOLD,31,59_RG-3_ROSE_GOLD.jpg,05_MIRROR_CLUSTER,image
