Seq,Index_Group,Index_Serial,Design_Code,Finish_Code,Product_Name,Printed_Page,PDF_Page,Category,Filename,Crop_Method
1,PRIMARY,95,1604,AF,CROSS CELESTIAL LIGHT,2,4,01_ANGLE_FLUTE,001_1604_AF_CROSS_CELESTIAL_LIGHT.jpg,dimension
2,PRIMARY,97,1605,AF,CROSS CELESTIAL DARK,4,5,01_ANGLE_FLUTE,002_1605_AF_CROSS_CELESTIAL_DARK.jpg,dimension
3,PRIMARY,84,1601,QR,SANDY MIST LIGHT,5,6,02_JUTE_COLLECTION,003_1601_QR_SANDY_MIST_LIGHT.jpg,layout
4,PRIMARY,85,1601,JT,SANDY MIST LIGHT,6,6,02_JUTE_COLLECTION,004_1601_JT_SANDY_MIST_LIGHT.jpg,dimension
5,PRIMARY,88,1602,QR,SANDY MIST LIGHT,7,7,02_JUTE_COLLECTION,005_1602_QR_SANDY_MIST_LIGHT.jpg,layout
6,PRIMARY,89,1602,JT,SANDY MIST LIGHT,8,7,02_JUTE_COLLECTION,006_1602_JT_SANDY_MIST_LIGHT.jpg,dimension
7,PRIMARY,153,1727,LA,SAHARA RED WOOD,9,8,03_PREMIUM_COLLECTION,007_1727_LA_SAHARA_RED_WOOD.jpg,dimension
8,PRIMARY,150,1726,LA,SAHARA CREAM WOOD,10,8,03_PREMIUM_COLLECTION,008_1726_LA_SAHARA_CREAM_WOOD.jpg,dimension
9,PRIMARY,107,1608,OS,SMERALDO,12,9,03_PREMIUM_COLLECTION,009_1608_OS_SMERALDO.jpg,dimension
10,PRIMARY,103,1607,PV,DARK UMBER,13,10,04_POLISHED_VENEER,010_1607_PV_DARK_UMBER.jpg,dimension
11,PRIMARY,99,1606,PV,SANDY CHROME,14,10,04_POLISHED_VENEER,011_1606_PV_SANDY_CHROME.jpg,dimension
12,PRIMARY,144,1722,JT,LIGHT JUTE,16,11,02_JUTE_COLLECTION,012_1722_JT_LIGHT_JUTE.jpg,dimension
13,PRIMARY,145,1723,JT,DARK JUTE,16,11,02_JUTE_COLLECTION,013_1723_JT_DARK_JUTE.jpg,dimension
14,ADDITIONAL,,HAC-1,_,BRIGHT PEARL,17,12,05_ACRYLIC_FLUTE,014_HAC-1_NA_BRIGHT_PEARL.jpg,layout
15,ADDITIONAL,,HAC-9,_,IRONIC GREY,17,12,05_ACRYLIC_FLUTE,015_HAC-9_NA_IRONIC_GREY.jpg,layout
16,ADDITIONAL,,HAC-8,_,ALOEVERA GREEN,17,12,05_ACRYLIC_FLUTE,016_HAC-8_NA_ALOEVERA_GREEN.jpg,layout
17,ADDITIONAL,,HAC-7,_,BLOSSOM PINK,18,12,05_ACRYLIC_FLUTE,017_HAC-7_NA_BLOSSOM_PINK.jpg,layout
18,ADDITIONAL,,HAC-11,_,DRAGON BLUE,18,12,05_ACRYLIC_FLUTE,018_HAC-11_NA_DRAGON_BLUE.jpg,layout
19,ADDITIONAL,,HAC-10,_,AIRO BLUE,18,12,05_ACRYLIC_FLUTE,019_HAC-10_NA_AIRO_BLUE.jpg,layout
20,PRIMARY,27,1549,SC,FOSSIL MARBLE,19,13,06_STONE_CRETE,020_1549_SC_FOSSIL_MARBLE.jpg,layout
21,PRIMARY,22,1548,SC,OUREA MARBLE,20,13,06_STONE_CRETE,021_1548_SC_OUREA_MARBLE.jpg,dimension
22,PRIMARY,146,1724,SM,CROSS WODD LIGHT,21,14,07_SILKY_MATT,022_1724_SM_CROSS_WODD_LIGHT.jpg,dimension
23,PRIMARY,147,1724,AF,CROSS WODD LIGHT,22,14,07_SILKY_MATT,023_1724_AF_CROSS_WODD_LIGHT.jpg,dimension
24,PRIMARY,148,1725,SM,CROSS WOOD DARK,23,15,07_SILKY_MATT,024_1725_SM_CROSS_WOOD_DARK.jpg,dimension
25,PRIMARY,149,1725,AF,CROSS WOOD DARK,24,15,07_SILKY_MATT,025_1725_AF_CROSS_WOOD_DARK.jpg,dimension
26,PRIMARY,109,1609,ZSL,VEINED SLATE GREEN,26,16,03_PREMIUM_COLLECTION,026_1609_ZSL_VEINED_SLATE_GREEN.jpg,dimension
27,PRIMARY,92,1603,ZSL,SPANISH COCO MARBLE,27,17,03_PREMIUM_COLLECTION,027_1603_ZSL_SPANISH_COCO_MARBLE.jpg,dimension
28,PRIMARY,28,1549,ZSL,FOSSIL MARBLE,28,17,03_PREMIUM_COLLECTION,028_1549_ZSL_FOSSIL_MARBLE.jpg,dimension
29,ADDITIONAL,,SSP-1,_,BRIGHT PEARL,31,19,08_ACRYLLIC_COLLECTION,029_SSP-1_NA_BRIGHT_PEARL.jpg,layout
30,ADDITIONAL,,SSP-2,_,ROSSO GREY,31,19,08_ACRYLLIC_COLLECTION,030_SSP-2_NA_ROSSO_GREY.jpg,layout
31,ADDITIONAL,,SSP-4,_,MOCCO BEIGE,31,19,08_ACRYLLIC_COLLECTION,031_SSP-4_NA_MOCCO_BEIGE.jpg,layout
32,ADDITIONAL,,SSP-5,_,WAVES BLUE,31,19,08_ACRYLLIC_COLLECTION,032_SSP-5_NA_WAVES_BLUE.jpg,layout
33,ADDITIONAL,,SSP-6,_,SHELL BEIGE,31,19,08_ACRYLLIC_COLLECTION,033_SSP-6_NA_SHELL_BEIGE.jpg,layout
34,ADDITIONAL,,SSP-7,_,BLOSSOM PINK,31,19,08_ACRYLLIC_COLLECTION,034_SSP-7_NA_BLOSSOM_PINK.jpg,layout
35,ADDITIONAL,,SSP-8,_,ALOEVERA GREEN,32,19,08_ACRYLLIC_COLLECTION,035_SSP-8_NA_ALOEVERA_GREEN.jpg,layout
36,ADDITIONAL,,SSP-9,_,IRONIC GREY,32,19,08_ACRYLLIC_COLLECTION,036_SSP-9_NA_IRONIC_GREY.jpg,layout
37,ADDITIONAL,,SSP-10,_,AIRO BLUE,32,19,08_ACRYLLIC_COLLECTION,037_SSP-10_NA_AIRO_BLUE.jpg,layout
38,ADDITIONAL,,SSP-11,_,DRAGON BLUE,32,19,08_ACRYLLIC_COLLECTION,038_SSP-11_NA_DRAGON_BLUE.jpg,layout
39,ADDITIONAL,,1104,HG,FROSTY WHITE,33,20,09_PASTEL_COLLECTION,039_1104_HG_FROSTY_WHITE.jpg,layout
40,ADDITIONAL,,1105,HG,IVORY,33,20,09_PASTEL_COLLECTION,040_1105_HG_IVORY.jpg,layout
41,ADDITIONAL,,1114,HG,CHOCOLATE,33,20,09_PASTEL_COLLECTION,041_1114_HG_CHOCOLATE.jpg,layout
42,ADDITIONAL,,1164,HG,SMOKEY BLUE,33,20,09_PASTEL_COLLECTION,042_1164_HG_SMOKEY_BLUE.jpg,layout
43,ADDITIONAL,,1165,HG,TIDAL,33,20,09_PASTEL_COLLECTION,043_1165_HG_TIDAL.jpg,layout
44,ADDITIONAL,,1166,HG,TWILIGHT GREY,33,20,09_PASTEL_COLLECTION,044_1166_HG_TWILIGHT_GREY.jpg,layout
45,ADDITIONAL,,1117,HG,SLATE GREY,33,20,09_PASTEL_COLLECTION,045_1117_HG_SLATE_GREY.jpg,layout
46,ADDITIONAL,,1167,HG,ICE BLUE,33,20,09_PASTEL_COLLECTION,046_1167_HG_ICE_BLUE.jpg,layout
47,ADDITIONAL,,1168,HG,BABY PINK,33,20,09_PASTEL_COLLECTION,047_1168_HG_BABY_PINK.jpg,layout
48,ADDITIONAL,,1169,HG,BABY GREEN,34,20,09_PASTEL_COLLECTION,048_1169_HG_BABY_GREEN.jpg,layout
49,ADDITIONAL,,1170,HG,ALOVERA GREEN,34,20,09_PASTEL_COLLECTION,049_1170_HG_ALOVERA_GREEN.jpg,layout
50,ADDITIONAL,,1171,HG,ASH GREY,34,20,09_PASTEL_COLLECTION,050_1171_HG_ASH_GREY.jpg,layout
51,ADDITIONAL,,1172,HG,ROCKY BLUE,34,20,09_PASTEL_COLLECTION,051_1172_HG_ROCKY_BLUE.jpg,layout
52,ADDITIONAL,,1173,HG,ADROIT BLUE,34,20,09_PASTEL_COLLECTION,052_1173_HG_ADROIT_BLUE.jpg,layout
53,ADDITIONAL,,1118,HG,GOTHIC GREY,34,20,09_PASTEL_COLLECTION,053_1118_HG_GOTHIC_GREY.jpg,layout
54,ADDITIONAL,,1174,HG,AIROIT BLUE,34,20,09_PASTEL_COLLECTION,054_1174_HG_AIROIT_BLUE.jpg,layout
55,ADDITIONAL,,1175,HG,PINK PUFF,34,20,09_PASTEL_COLLECTION,055_1175_HG_PINK_PUFF.jpg,layout
56,ADDITIONAL,,1176,HG,BABY PEACH,34,20,09_PASTEL_COLLECTION,056_1176_HG_BABY_PEACH.jpg,layout
57,ADDITIONAL,,1104,VF,FROSTY WHITE,35,21,09_PASTEL_COLLECTION,057_1104_VF_FROSTY_WHITE.jpg,layout
58,ADDITIONAL,,1105,VF,IVORY,35,21,09_PASTEL_COLLECTION,058_1105_VF_IVORY.jpg,layout
59,ADDITIONAL,,1114,VF,CHOCOLATE,35,21,09_PASTEL_COLLECTION,059_1114_VF_CHOCOLATE.jpg,layout
60,ADDITIONAL,,1164,VF,SMOKEY BLUE,35,21,09_PASTEL_COLLECTION,060_1164_VF_SMOKEY_BLUE.jpg,layout
61,ADDITIONAL,,1165,VF,TIDAL,35,21,09_PASTEL_COLLECTION,061_1165_VF_TIDAL.jpg,layout
62,ADDITIONAL,,1173,VF,ADROIT BLUE,35,21,09_PASTEL_COLLECTION,062_1173_VF_ADROIT_BLUE.jpg,layout
63,ADDITIONAL,,1166,VF,TWILIGHT GREY,35,21,09_PASTEL_COLLECTION,063_1166_VF_TWILIGHT_GREY.jpg,layout
64,ADDITIONAL,,1117,VF,SLATE GREY,35,21,09_PASTEL_COLLECTION,064_1117_VF_SLATE_GREY.jpg,layout
65,ADDITIONAL,,1167,VF,ICE BLUE,35,21,09_PASTEL_COLLECTION,065_1167_VF_ICE_BLUE.jpg,layout
66,ADDITIONAL,,1168,VF,BABY PINK,35,21,09_PASTEL_COLLECTION,066_1168_VF_BABY_PINK.jpg,layout
67,ADDITIONAL,,1169,VF,BABY GREEN,36,21,09_PASTEL_COLLECTION,067_1169_VF_BABY_GREEN.jpg,layout
68,ADDITIONAL,,1170,VF,ALOVERA GREEN,36,21,09_PASTEL_COLLECTION,068_1170_VF_ALOVERA_GREEN.jpg,layout
69,ADDITIONAL,,1171,VF,ASH GREY,36,21,09_PASTEL_COLLECTION,069_1171_VF_ASH_GREY.jpg,layout
70,ADDITIONAL,,1172,VF,ROCKY BLUE,36,21,09_PASTEL_COLLECTION,070_1172_VF_ROCKY_BLUE.jpg,layout
71,ADDITIONAL,,1118,VF,GOTHIC GREY,36,21,09_PASTEL_COLLECTION,071_1118_VF_GOTHIC_GREY.jpg,layout
72,ADDITIONAL,,1174,VF,AIROIT BLUE,36,21,09_PASTEL_COLLECTION,072_1174_VF_AIROIT_BLUE.jpg,layout
73,ADDITIONAL,,1175,VF,PINK PUFF,36,21,09_PASTEL_COLLECTION,073_1175_VF_PINK_PUFF.jpg,layout
74,ADDITIONAL,,1176,VF,BABY PEACH,36,21,09_PASTEL_COLLECTION,074_1176_VF_BABY_PEACH.jpg,layout
