Sequence,Catalog_Page,Code,Product_Name,Category,Filename,Width_px,Height_px
1,3,SF-2348,AMBER TEAK,Wood Grains Premium,01_Wood_Grains_Premium/01_SF_2348_AMBER_TEAK.png,521,1058
2,4,SF-2340,CARINI WALNUT,Wood Grains Premium,01_Wood_Grains_Premium/02_SF_2340_CARINI_WALNUT.png,522,1058
3,4,SF-2343,NATURAL TEAK,Wood Grains Premium,01_Wood_Grains_Premium/03_SF_2343_NATURAL_TEAK.png,521,1058
4,5,SF-2346,BLOSSOM LIGHT,Wood Grains Premium,01_Wood_Grains_Premium/04_SF_2346_BLOSSOM_LIGHT.png,522,1059
5,5,SF-2347,BLOSSOM DARK,Wood Grains Premium,01_Wood_Grains_Premium/05_SF_2347_BLOSSOM_DARK.png,522,1058
6,6,SF-2341,SWEDISH OAK,Wood Grains Premium,01_Wood_Grains_Premium/06_SF_2341_SWEDISH_OAK.png,523,1058
7,6,SF-2342,ASH WOOD,Wood Grains Premium,01_Wood_Grains_Premium/07_SF_2342_ASH_WOOD.png,522,1058
8,7,SF-2330,TRIMA WOOD,Wood Grains Premium,01_Wood_Grains_Premium/08_SF_2330_TRIMA_WOOD.png,523,1058
9,7,SF-2115,DARK GREY,Wood Grains Premium,01_Wood_Grains_Premium/09_SF_2115_DARK_GREY.png,522,1058
10,8,SF-2333,DIVINE WOOD,Wood Grains Premium,01_Wood_Grains_Premium/10_SF_2333_DIVINE_WOOD.png,523,1058
11,8,SF-2339,DYED ASH,Wood Grains Premium,01_Wood_Grains_Premium/11_SF_2339_DYED_ASH.png,522,1058
12,9,SF-2336,MALAY TEAK,Wood Grains Premium,01_Wood_Grains_Premium/12_SF_2336_MALAY_TEAK.png,522,1058
13,9,SF-2326,HERITAGE WOOD,Wood Grains Premium,01_Wood_Grains_Premium/13_SF_2326_HERITAGE_WOOD.png,523,1058
14,10,SF-2116,LIGHT GREY,Wood Grains Premium,01_Wood_Grains_Premium/14_SF_2116_LIGHT_GREY.png,522,1058
15,10,SF-2331,NATURAL WOOD,Wood Grains Premium,01_Wood_Grains_Premium/15_SF_2331_NATURAL_WOOD.png,523,1058
16,11,SF-2345,CHEVRON GREY DARK,Wood Grains Premium,01_Wood_Grains_Premium/16_SF_2345_CHEVRON_GREY_DARK.png,522,1058
17,11,SF-2344,CHEVRON GREY LIGHT,Wood Grains Premium,01_Wood_Grains_Premium/17_SF_2344_CHEVRON_GREY_LIGHT.png,523,1058
18,12,SF-2535,GERMAN TEAK,Wood Grains Premium,01_Wood_Grains_Premium/18_SF_2535_GERMAN_TEAK.png,523,1058
19,12,SF-2321,GERMAN TEAK BROWN,Wood Grains Premium,01_Wood_Grains_Premium/19_SF_2321_GERMAN_TEAK_BROWN.png,523,1058
20,13,SF-2312,BENTLY BEACH,Wood Grains Premium,01_Wood_Grains_Premium/20_SF_2312_BENTLY_BEACH.png,522,1058
21,13,SF-2338,CARMEL WOOD,Wood Grains Premium,01_Wood_Grains_Premium/21_SF_2338_CARMEL_WOOD.png,522,1058
22,14,SF-2304,TERRAIN WALNUT,Wood Grains Premium,01_Wood_Grains_Premium/22_SF_2304_TERRAIN_WALNUT.png,522,1058
23,14,SF-2303,COTTON WALNUT,Wood Grains Premium,01_Wood_Grains_Premium/23_SF_2303_COTTON_WALNUT.png,522,1058
24,15,SF-2335,GOLDEN PINE,Wood Grains Premium,01_Wood_Grains_Premium/24_SF_2335_GOLDEN_PINE.png,523,1058
25,15,SF-2329,OXFORD CHERRY,Wood Grains Premium,01_Wood_Grains_Premium/25_SF_2329_OXFORD_CHERRY.png,521,1059
26,16,SF-2322,NAIRA ASH,Wood Grains Premium,01_Wood_Grains_Premium/26_SF_2322_NAIRA_ASH.png,523,1058
27,16,SF-2323,NAIRA ASH DARK,Wood Grains Premium,01_Wood_Grains_Premium/27_SF_2323_NAIRA_ASH_DARK.png,523,1058
28,17,SF-2301,CHERRY WOOD,Wood Grains Premium,01_Wood_Grains_Premium/28_SF_2301_CHERRY_WOOD.png,522,491
29,17,SF-2302,FRENCH WOOD,Wood Grains Premium,01_Wood_Grains_Premium/29_SF_2302_FRENCH_WOOD.png,521,493
30,17,SF-2320,PINUS WOOD,Wood Grains Premium,01_Wood_Grains_Premium/30_SF_2320_PINUS_WOOD.png,521,493
31,17,SF-2337,ARMANI GREY,Wood Grains Premium,01_Wood_Grains_Premium/31_SF_2337_ARMANI_GREY.png,521,493
32,18,SF-2308,BRAZILIAN WOOD BROWN,Wood Grains Premium,01_Wood_Grains_Premium/32_SF_2308_BRAZILIAN_WOOD_BROWN.png,521,1058
33,18,SF-2306,LUSH OAK BROWN,Wood Grains Premium,01_Wood_Grains_Premium/33_SF_2306_LUSH_OAK_BROWN.png,522,1058
34,19,P1-SF,CLASSIC SHADE P1,Classic Shades,02_Classic_Shades/34_P1_SF_CLASSIC_SHADE_P1.png,800,800
35,19,P2-SF,CLASSIC SHADE P2,Classic Shades,02_Classic_Shades/35_P2_SF_CLASSIC_SHADE_P2.png,800,800
36,19,P3-SF,CLASSIC SHADE P3,Classic Shades,02_Classic_Shades/36_P3_SF_CLASSIC_SHADE_P3.png,800,800
37,19,P4-SF,CLASSIC SHADE P4,Classic Shades,02_Classic_Shades/37_P4_SF_CLASSIC_SHADE_P4.png,800,800
38,19,P5-SF,CLASSIC SHADE P5,Classic Shades,02_Classic_Shades/38_P5_SF_CLASSIC_SHADE_P5.png,800,800
39,19,P6-SF,CLASSIC SHADE P6,Classic Shades,02_Classic_Shades/39_P6_SF_CLASSIC_SHADE_P6.png,800,800
40,19,P7-SF,CLASSIC SHADE P7,Classic Shades,02_Classic_Shades/40_P7_SF_CLASSIC_SHADE_P7.png,800,800
41,19,P8-SF,CLASSIC SHADE P8,Classic Shades,02_Classic_Shades/41_P8_SF_CLASSIC_SHADE_P8.png,800,800
