Serial,Catalog_PDF_Page,Series,Finish_Code,Design,Product_Code,Color_Name,Filename,Width_px,Height_px
1,5,Liquid Metal,LM,1,LM-1,NATURAL METAL,01_LIQUID_METAL/001_LM_1_NATURAL_METAL.png,683,1250
2,10,Acrylic Series,AC,1,AC-1,PEARL WHITE,05_ACRYLIC_SERIES/002_AC_1_PEARL_WHITE.png,454,794
3,10,Acrylic Series,FAC,1,FAC-1,PEARL WHITE,05_ACRYLIC_SERIES/003_FAC_1_PEARL_WHITE.png,454,341
4,5,Liquid Metal,LM,2,LM-2,NAVI METAL,01_LIQUID_METAL/004_LM_2_NAVI_METAL.png,682,1250
5,5,Liquid Metal,LM,3,LM-3,GREY METAL,01_LIQUID_METAL/005_LM_3_GREY_METAL.png,682,1250
6,11,Acrylic Series,AC,3,AC-3,SEA SHELL,05_ACRYLIC_SERIES/006_AC_3_SEA_SHELL.png,455,568
7,4,Liquid Metal,LM,4,LM-4,BLUE METAL,01_LIQUID_METAL/007_LM_4_BLUE_METAL.png,1250,1250
8,11,Acrylic Series,AC,4,AC-4,CRAYON,05_ACRYLIC_SERIES/008_AC_4_CRAYON.png,455,568
9,10,Acrylic Series,AC,5,AC-5,GRAPHITE GREY,05_ACRYLIC_SERIES/009_AC_5_GRAPHITE_GREY.png,454,794
10,10,Acrylic Series,FAC,5,FAC-5,GRAPHITE GREY,05_ACRYLIC_SERIES/010_FAC_5_GRAPHITE_GREY.png,454,341
11,11,Acrylic Series,AC,6,AC-6,OYSTER,05_ACRYLIC_SERIES/011_AC_6_OYSTER.png,455,568
12,11,Acrylic Series,AC,7,AC-7,SKY CLOUD,05_ACRYLIC_SERIES/012_AC_7_SKY_CLOUD.png,454,568
13,10,Acrylic Series,AC,8,AC-8,FOLK BLUE,05_ACRYLIC_SERIES/013_AC_8_FOLK_BLUE.png,454,794
14,10,Acrylic Series,FAC,8,FAC-8,FOLK BLUE,05_ACRYLIC_SERIES/014_FAC_8_FOLK_BLUE.png,454,341
15,10,Acrylic Series,AC,9,AC-9,BABY PINK,05_ACRYLIC_SERIES/015_AC_9_BABY_PINK.png,455,794
16,10,Acrylic Series,FAC,9,FAC-9,BABY PINK,05_ACRYLIC_SERIES/016_FAC_9_BABY_PINK.png,455,341
17,10,Acrylic Series,AC,10,AC-10,CYPRESS GREEN,05_ACRYLIC_SERIES/017_AC_10_CYPRESS_GREEN.png,455,794
18,10,Acrylic Series,FAC,10,FAC-10,CYPRESS GREEN,05_ACRYLIC_SERIES/018_FAC_10_CYPRESS_GREEN.png,455,341
19,11,Acrylic Series,AC,11,AC-11,TURKIESH,05_ACRYLIC_SERIES/019_AC_11_TURKIESH.png,454,568
20,11,Acrylic Series,AC,12,AC-12,WAVES,05_ACRYLIC_SERIES/020_AC_12_WAVES.png,455,568
21,11,Acrylic Series,AC,13,AC-13,SEA WATER,05_ACRYLIC_SERIES/021_AC_13_SEA_WATER.png,454,568
22,11,Acrylic Series,AC,14,AC-14,ALMOND BEIGE,05_ACRYLIC_SERIES/022_AC_14_ALMOND_BEIGE.png,454,568
23,9,Smoked Stone,SST,6118,SST-6118,GOTHIC GREY,04_SMOKED_STONE/023_SST_6118_GOTHIC_GREY.png,740,1250
24,12,Triangle Block,TB,6118,TB-6118,GOTHIC GREY,06_TRIANGLE_BLOCK/024_TB_6118_GOTHIC_GREY.png,454,851
25,16,Angular Line,AL,6118,AL-6118,GOTHIC GREY,10_ANGULAR_LINE/025_AL_6118_GOTHIC_GREY.png,738,1248
26,17,Line Series,CE,6118,CE-6118,GOTHIC GREY,11_LINE_SERIES/026_CE_6118_GOTHIC_GREY.png,1022,1248
27,27,Zero Matt,PM,6118,PM-6118,GOTHIC GREY,19_ZERO_MATT/027_PM_6118_GOTHIC_GREY.png,228,568
28,29,Premium Gloss,PG,6118,PG-6118,GOTHIC GREY,20_PREMIUM_GLOSS/028_PG_6118_GOTHIC_GREY.png,227,568
29,15,Dazzle Shadow,DS,6188,DS-6188,RUSTIC EMBER,09_DAZZLE_SHADOW/029_DS_6188_RUSTIC_EMBER.png,1589,851
30,27,Zero Matt,PM,6188,PM-6188,RUSTIC EMBER,19_ZERO_MATT/030_PM_6188_RUSTIC_EMBER.png,227,568
31,29,Premium Gloss,PG,6188,PG-6188,RUSTIC EMBER,20_PREMIUM_GLOSS/031_PG_6188_RUSTIC_EMBER.png,228,568
32,8,Cemento Series,CO,6189,CO-6189,MINT MIDNIGHT,03_CEMENTO_SERIES/032_CO_6189_MINT_MIDNIGHT.png,1134,456
33,14,Magic Brush,MB,6189,MB-6189,MINT MIDNIGHT,08_MAGIC_BRUSH/033_MB_6189_MINT_MIDNIGHT.png,1135,284
34,27,Zero Matt,PM,6189,PM-6189,MINT MIDNIGHT,19_ZERO_MATT/034_PM_6189_MINT_MIDNIGHT.png,227,568
35,28,Premium Gloss,PG,6189,PG-6189,MINT MIDNIGHT,20_PREMIUM_GLOSS/035_PG_6189_MINT_MIDNIGHT.png,227,568
36,8,Cemento Series,CO,6190,CO-6190,UBRAN VIBES,03_CEMENTO_SERIES/036_CO_6190_UBRAN_VIBES.png,1134,284
37,12,Triangle Block,TB,6190,TB-6190,UBRAN VIBES,06_TRIANGLE_BLOCK/037_TB_6190_UBRAN_VIBES.png,455,851
38,14,Magic Brush,MB,6190,MB-6190,UBRAN VIBES,08_MAGIC_BRUSH/038_MB_6190_UBRAN_VIBES.png,1134,284
39,26,Zero Matt,PM,6190,PM-6190,UBRAN VIBES,19_ZERO_MATT/039_PM_6190_UBRAN_VIBES.png,228,568
40,28,Premium Gloss,PG,6190,PG-6190,UBRAN VIBES,20_PREMIUM_GLOSS/040_PG_6190_UBRAN_VIBES.png,228,568
41,9,Smoked Stone,SST,6191,SST-6191,PALE WHITE,04_SMOKED_STONE/041_SST_6191_PALE_WHITE.png,1248,1250
42,27,Zero Matt,PM,6191,PM-6191,PALE WHITE,19_ZERO_MATT/042_PM_6191_PALE_WHITE.png,228,568
43,28,Premium Gloss,PG,6191,PG-6191,PALE WHITE,20_PREMIUM_GLOSS/043_PG_6191_PALE_WHITE.png,227,568
44,13,Wood Panels,WP,6192,WP-6192,AQUATIC,07_WOOD_PANELS/044_WP_6192_AQUATIC.png,454,1021
45,27,Zero Matt,PM,6192,PM-6192,AQUATIC,19_ZERO_MATT/045_PM_6192_AQUATIC.png,227,568
46,28,Premium Gloss,PG,6192,PG-6192,AQUATIC,20_PREMIUM_GLOSS/046_PG_6192_AQUATIC.png,228,568
